Link of Listing,Home Type,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/330-Wythe-Ave-APT-6J-Brooklyn-NY-11249/59996621_zpid/,CONDO,"330 Wythe Ave APT 6J, Brooklyn, NY 11249",For Sale by Agent,"$4,650,000 ",SERHANT.
https://www.zillow.com/homedetails/1335-71st-St-Brooklyn-NY-11228/30703190_zpid/,SINGLE_FAMILY,"1335 71st St, Brooklyn, NY 11228",For Sale by Agent,"$1,088,000 ",Remax Real Estate Professionals
https://www.zillow.com/homedetails/217-Java-St-Brooklyn-NY-11222/30619962_zpid/,MULTI_FAMILY,"217 Java St, Brooklyn, NY 11222",For Sale by Agent,"$1,349,000 ",Capri Jet Realty Corp
https://www.zillow.com/homedetails/1006-E-35th-St-4-Brooklyn-NY-11210/2135752342_zpid/,CONDO,"1006 E 35th St #4, Brooklyn, NY 11210",For Sale by Agent,"$625,000 ",Keller Williams Legendary
https://www.zillow.com/homedetails/431-E-32nd-St-Brooklyn-NY-11226/30662254_zpid/,SINGLE_FAMILY,"431 E 32nd St, Brooklyn, NY 11226",For Sale by Agent,"$778,000 ",Compass
https://www.zillow.com/homedetails/1338-Park-Pl-Brooklyn-NY-11213/68310361_zpid/,MULTI_FAMILY,"1338 Park Place, Crown Heights, NY 11213",Non Owner Occupied,"$275,000 ",Island Advantage Realty LLC
https://www.zillow.com/homedetails/9956-3rd-Ave-501-Brooklyn-NY-11209/2065738641_zpid/,CONDO,"9956 3rd Ave #501, Brooklyn, NY 11209",For Sale by Agent,"$975,000 ",82 Realty Group LLC
https://www.zillow.com/homedetails/5423-Avenue-M-Brooklyn-NY-11234/30763303_zpid/,SINGLE_FAMILY,"5423 Avenue M, Brooklyn, NY 11234",For Sale by Agent,"$300,000 ",NELLA MANAGEMENT LLC
https://www.zillow.com/homedetails/544-Madison-St-Brooklyn-NY-11221/30603859_zpid/,MULTI_FAMILY,"544 Madison St, Brooklyn, NY 11221",For Sale by Agent,"$995,000 ",Douglas Elliman
https://www.zillow.com/homedetails/612-Louisiana-Ave-3-Brooklyn-NY-11239/30775928_zpid/,CONDO,"612 Louisiana Ave #3, Brooklyn, NY 11239",For Sale by Agent,"$325,000 ",Keller Williams Realty Empire
https://www.zillow.com/homedetails/5473-Kings-Hwy-Brooklyn-NY-11203/30656354_zpid/,MULTI_FAMILY,"5473 Kings Hwy, Brooklyn, NY 11203",For Sale by Agent,"$700,000 ",Daniel Gale Sotheby's International Realty
https://www.zillow.com/homedetails/274-S-2nd-St-APT-30-Brooklyn-NY-11211/119908765_zpid/,CONDO,"274 S 2nd St APT 30, Brooklyn, NY 11211",For Sale by Agent,"$350,000 ",Corcoran
https://www.zillow.com/homedetails/789-Macdonough-St-APT-4G-Brooklyn-NY-11233/245067349_zpid/,CONDO,"789 Macdonough St APT 4G, Brooklyn, NY 11233",For Sale by Agent,"$185,000 ",Brown Harris Stevens
https://www.zillow.com/homedetails/1075-Ocean-Pkwy-APT-1C-Brooklyn-NY-11230/245063408_zpid/,CONDO,"1075 Ocean Pkwy APT 1C, Brooklyn, NY 11230",For Sale by Agent,"$215,000 ",MadisonEstates Sothebys Realty
https://www.zillow.com/homedetails/1124-E-51st-St-Brooklyn-NY-11234/30758138_zpid/,SINGLE_FAMILY,"1124 E 51st St, Brooklyn, NY 11234",For Sale by Agent,"$799,000 ",OneSpace Realty Group LLC
https://www.zillow.com/homedetails/2138-Coleman-St-Brooklyn-NY-11234/30786755_zpid/,SINGLE_FAMILY,"2138 Coleman St, Brooklyn, NY 11234",For Sale by Agent,"$699,000 ",Talk of the Town Realty
https://www.zillow.com/homedetails/544-Hinsdale-St-Brooklyn-NY-11207/30635827_zpid/,MULTI_FAMILY,"544 Hinsdale St, Brooklyn, NY 11207",For Sale by Agent,"$848,000 ",Remax Edge
https://www.zillow.com/homedetails/23-Brevoort-Pl-Brooklyn-NY-11216/2103747260_zpid/,MULTI_FAMILY,"23 Brevoort Pl, Brooklyn, NY 11216",For Sale by Agent,"$1,488,000 ",Douglas Elliman
https://www.zillow.com/homedetails/1750-E-14th-St-APT-L4-Brooklyn-NY-11229/245034964_zpid/,CONDO,"1750 E 14 Street E UNIT L4, Homecrest, NY 11229",For Sale by Agent,"$265,000 ",RE/MAX Distinguished Hms.&Prop
https://www.zillow.com/homedetails/563-E-55th-St-Brooklyn-NY-11203/30656414_zpid/,SINGLE_FAMILY,"563 E 55th St, Brooklyn, NY 11203",For Sale by Agent,"$799,000 ",My Home Advisors
https://www.zillow.com/homedetails/2177-E-19th-St-Brooklyn-NY-11229/30744641_zpid/,SINGLE_FAMILY,"2177 E 19th St, Brooklyn, NY 11229",For Sale by Agent,"$1,020,000 ",Madison Estates Sotheby's International Realty
https://www.zillow.com/homedetails/2650-Ocean-Pkwy-APT-10P-Brooklyn-NY-11235/245051127_zpid/,CONDO,"2650 Ocean Pkwy APT 10P, Brooklyn, NY 11235",For Sale by Agent,"$465,000 ",Remax Edge
https://www.zillow.com/homedetails/1023-Union-St-Brooklyn-NY-11225/30590897_zpid/,SINGLE_FAMILY,"1023 Union St, Brooklyn, NY 11225",For Sale by Agent,"$1,050,000 ",Corcoran
https://www.zillow.com/homedetails/430-Avenue-X-2-Brooklyn-NY-11223/2053390492_zpid/,MULTI_FAMILY,"430 Avenue X #2, Brooklyn, NY 11223",For Sale by Agent,"$948,000 ",ProBase Real Estate
https://www.zillow.com/homedetails/8015-6th-Ave-APT-A1-Brooklyn-NY-11209/245022873_zpid/,CONDO,"8015 6th Ave APT A1, Brooklyn, NY 11209",For Sale by Agent,"$280,000 ",Brown Harris Stevens
https://www.zillow.com/homedetails/530-4th-St-3-Brooklyn-NY-11215/79728188_zpid/,CONDO,"530 4th St #3, Brooklyn, NY 11215",For Sale by Agent,"$1,575,000 ",Corcoran
https://www.zillow.com/homedetails/1509-E-48th-St-Brooklyn-NY-11234/30762151_zpid/,SINGLE_FAMILY,"1509 E 48th St, Brooklyn, NY 11234",For Sale by Agent,"$595,000 ",Tom Marco Real Estate
